Id,Year,Month,Irrigation,Rainfall,Tem,Evaporation,Water_Discharge,Depth
1,2000,1,0,360.265,-2.975,3291.682,0,2.033
1,2000,2,0,0,-10,6232.959,0,2.278
1,2000,3,0,0,-9.45,20015.548,14.615,2.333
1,2000,4,6477.062,37.923,-3.625,34159.161,89.931,2.094
1,2000,5,11008.138,170.652,5.325,47994.843,414.868,1.436
1,2000,6,8991.13,4455.906,15.8,36367.773,400.49,1.337
1,2000,7,8564.918,3678.492,22.225,46423.33,379.803,1.505
1,2000,8,5522.083,7300.101,27.1,32725.687,238.312,1.798
1,2000,9,4364.323,5214.358,25.95,25006.162,198.311,2.038
1,2000,10,15192.317,663.646,21.2,16575.21,570.496,1.682
1,2000,11,0,37.923,15.025,9184.854,491.49,1.251
1,2000,12,0,0,3.025,6976.241,69.096,1.705
1,2001,1,0,0,-3.15,5415.347,0,2.082
1,2001,2,0,0,-8.5,9375.984,0,2.3
1,2001,3,0,0,-9.975,23965.566,13.555,2.317
1,2001,4,7116.336,265.458,-1.225,31897.457,83.412,2.063
1,2001,5,11125.814,1497.943,8.125,49353.989,384.796,1.505
1,2001,6,9346.752,360.265,16.9,47410.835,371.46,1.472
1,2001,7,9006.336,1877.169,19.825,48695.652,352.272,1.782
1,2001,8,7294.925,6996.72,22.75,39202.867,221.038,1.903
1,2001,9,3341.088,10258.063,23.825,20663.266,183.936,1.973
1,2001,10,15512.256,9101.424,19.65,15715.125,529.143,1.755
1,2001,11,0,132.729,12.25,8069.929,455.864,1.173
1,2001,12,0,94.807,4.525,4215.476,64.087,1.681
1,2002,1,0,0,-4.05,6137.394,0,2.069
1,2002,2,0,379.226,-6.225,9259.182,0,2.233
1,2002,3,0,815.336,-0.45,21077.381,14.975,2.172
1,2002,4,6723.648,2825.234,2.7,30633.876,92.148,1.917
1,2002,5,9428.314,6105.539,4.925,32778.779,425.098,1.327
1,2002,6,9965.117,13159.142,10.275,39245.34,410.366,1.275
1,2002,7,11003.904,3924.989,22.425,35465.216,389.169,1.398
1,2002,8,6563.549,891.181,26.975,35921.804,244.189,1.792
1,2002,9,3529.267,1573.788,25.4,23073.627,203.202,2.064
1,2002,10,15213.658,56.884,21.875,19612.052,584.565,1.92
1,2002,11,152.928,0,16.75,9429.075,503.61,1.274
1,2002,12,0,549.878,7.225,3387.247,70.799,1.745
1,2003,1,0,94.807,-3.1,3259.827,0,2.133
1,2003,2,0,170.652,-5.725,8314.151,0,2.301
1,2003,3,0,568.839,-7.675,15863.782,11.009,2.307
1,2003,4,3473.28,1441.059,-0.675,33352.168,67.741,2
1,2003,5,8976.269,2142.627,9.675,40784.998,312.501,1.588
1,2003,6,5217.091,682.607,16.85,41188.494,301.671,1.647
1,2003,7,9446.976,10201.179,20.6,34902.444,286.088,1.771
1,2003,8,4222.195,2711.466,24.55,34127.306,179.51,2.005
1,2003,9,2108.506,17823.622,23.3,27374.05,149.379,2.219
1,2003,10,14135.731,834.297,20.95,17562.715,429.729,1.903
1,2003,11,146.88,75.845,12.55,8388.479,370.217,1.414
1,2003,12,0,0,1.375,5287.927,52.047,1.875
1,2004,1,0,0,-4.05,6137.394,0,2.069
1,2004,2,0,379.226,-6.225,9259.182,0,2.233
1,2004,3,0,815.336,-0.45,21077.381,14.975,2.172
1,2004,4,6723.648,2825.234,2.7,30633.876,92.148,1.917
1,2004,5,9428.314,6105.539,4.925,32778.779,425.098,1.327
1,2004,6,9965.117,13159.142,10.275,39245.34,410.366,1.275
1,2004,7,11003.904,3924.989,22.425,35465.216,389.169,1.398
1,2004,8,6563.549,891.181,26.975,35921.804,244.189,1.792
1,2004,9,3529.267,1573.788,25.4,23073.627,203.202,2.064
1,2004,10,15213.658,56.884,21.875,19612.052,584.565,1.92
1,2004,11,152.928,0,16.75,9429.075,503.61,1.274
1,2004,12,0,549.878,7.225,3387.247,70.799,1.745
1,2005,1,0,0,-3.15,5415.347,0,2.082
1,2005,2,0,0,-8.5,9375.984,0,2.3
1,2005,3,0,0,-9.975,23965.566,13.555,2.317
1,2005,4,7116.336,265.458,-1.225,31897.457,83.412,2.063
1,2005,5,11125.814,1497.943,8.125,49353.989,384.796,1.505
1,2005,6,9346.752,360.265,16.9,47410.835,371.46,1.472
1,2005,7,9006.336,1877.169,19.825,48695.652,352.272,1.782
1,2005,8,7294.925,6996.72,22.75,39202.867,221.038,1.903
1,2005,9,3341.088,10258.063,23.825,20663.266,183.936,1.973
1,2005,10,15512.256,9101.424,19.65,15715.125,529.143,1.755
1,2005,11,0,132.729,12.25,8069.929,455.864,1.173
1,2005,12,0,94.807,4.525,4215.476,64.087,1.681
1,2006,1,0,360.265,-4.975,3259.827,0,2.246
1,2006,2,0,398.187,-8.375,7528.395,0,2.43
1,2006,3,0,0,-1.825,18932.479,33.11,2.419
1,2006,4,5205.489,132.729,-0.125,36845.598,48.31,2.199
1,2006,5,11471.54,4474.867,5.925,44055.443,257.89,1.677
1,2006,6,8881.552,303.381,16.025,44968.619,255.85,1.536
1,2006,7,10002.398,5100.59,24.175,37196.003,214,1.638
1,2006,8,4900.085,4417.983,26.5,28977.417,178.1,1.859
1,2006,9,4365.517,2464.969,24.425,24273.498,149.13,2.159
1,2006,10,15953.328,56.884,22.7,23073.627,306.27,1.956
1,2006,11,549.092,1004.949,16.275,10512.145,301.16,1.294
1,2006,12,0,0,5.925,4236.713,25.31,1.717
1,2007,1,0,0,-1.875,4640.209,0,2.138
1,2007,2,0,1478.981,-9.275,7868.181,0,2.289
1,2007,3,0,3735.376,-5.4,14504.636,0,2.167
1,2007,4,5590.303,1460.02,-1.675,30697.586,32.58,1.96
1,2007,5,12232.616,246.497,4.625,49385.844,183.24,1.647
1,2007,6,9475.176,15624.111,12.65,37142.911,252.52,1.438
